1,0,1:01,"Unison, monophony, perfect prime, tonic, or fundamental",12,3,Meantone,na
2,0.4,4375:4374,Ragisma,na,7,na,Superparticular
3,0.72,2401:2400,Breedsma,na,7,na,Superparticular
4,1,2 to the power of (1/1200),Cent,1200,na,na,na
5,1.2,2 to the power of (1/1000),Millioctave,1000,na,na,na
6,1.95,32805/ 32768,"Schisma",na,5,na,na
7,3.99,10 to the power of 1/1000,"Savart or eptaméride",301,0,na,na
8,7.71,225/ 224,"Septimal kleisma, marvel comma",na,7,na,Superparticular
9,8.11,15625/ 15552,"Kleisma or semicomma majeur",na,5,na,na
10,10.06,2109375/ 2097152,"Semicomma, Fokker's comma",na,5,na,na
